   Gen     Avg_len    Best_len     Best_path
   121     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   122     5.21284     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   123     5.21239     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   124     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   125     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   126     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   127     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   128     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   129     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   130     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   131     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   132     5.21196     5.21196     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   133     5.21159     5.18214     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 12 5 27 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   134     5.19422     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   135     5.13026     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
